LotFrontage,LotArea,LandContour,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SalePrice
72,10791,Lvl,Duplex,1Story,4,5,Gable,0,TA,TA,,,,,0,,0,0,0,TA,1296,0,0,1296,0,0,2,0,2,2,TA,6,0,1967,Unf,2,516,TA,TA,0,0,0,0,0,0,500,90000
66,13695,Lvl,1Fam,1Story,5,5,Gable,0,TA,TA,TA,TA,No,GLQ,646,Unf,0,468,1114,Ex,1114,0,0,1114,1,0,1,1,3,1,Gd,6,0,2004,Unf,2,576,TA,TA,0,102,0,0,0,0,0,159000
70,7560,Lvl,1Fam,1Story,5,6,Hip,0,TA,TA,TA,TA,No,LwQ,504,Unf,0,525,1029,TA,1339,0,0,1339,0,0,1,0,3,1,TA,6,0,1958,Unf,1,294,TA,TA,0,0,0,0,0,0,0,139000
101,14215,Lvl,1Fam,2Story,8,5,Gable,380,Gd,TA,Ex,TA,Av,Unf,0,Unf,0,1158,1158,Ex,1158,1218,0,2376,0,0,3,1,4,1,Gd,9,1,2005,RFn,3,853,TA,TA,240,154,0,0,0,0,0,325300
57,7449,Bnk,1Fam,1.5Unf,7,7,Gable,0,TA,TA,TA,TA,No,Unf,0,Unf,0,637,637,Ex,1108,0,0,1108,0,0,1,0,3,1,Gd,6,1,1930,Unf,1,280,TA,TA,0,0,205,0,0,0,0,139400
75,9742,Lvl,1Fam,1Story,8,5,Hip,281,Gd,TA,Gd,TA,No,Unf,0,Unf,0,1777,1777,Ex,1795,0,0,1795,0,0,2,0,3,1,Gd,7,1,2002,RFn,2,534,TA,TA,171,159,0,0,0,0,0,230000
44,4224,Lvl,TwnhsE,1Story,5,7,Gable,0,TA,TA,Gd,TA,No,GLQ,840,Unf,0,200,1040,TA,1060,0,0,1060,1,0,1,0,3,1,TA,6,1,1976,Unf,2,572,TA,TA,100,110,0,0,0,0,0,129900
,8246,Lvl,1Fam,1Story,5,8,Gable,0,TA,Gd,TA,TA,Mn,Rec,188,ALQ,668,204,1060,Ex,1060,0,0,1060,1,0,1,0,3,1,Gd,6,1,1968,Unf,1,270,TA,TA,406,90,0,0,0,0,0,154000
110,14230,Lvl,1Fam,1Story,8,5,Gable,640,Gd,TA,Gd,TA,No,Unf,0,Unf,0,1566,1566,Ex,1600,0,0,1600,0,0,2,0,3,1,Gd,7,1,2007,RFn,3,890,TA,TA,0,56,0,0,0,0,0,256300
60,7200,Lvl,1Fam,1Story,5,7,Gable,0,TA,TA,TA,TA,Mn,BLQ,234,Rec,486,180,900,TA,900,0,0,900,0,1,1,0,3,1,Gd,5,0,2005,Unf,2,576,TA,TA,222,32,0,0,0,0,0,134800
98,11478,Lvl,1Fam,1Story,8,5,Gable,200,Gd,TA,Ex,TA,No,GLQ,1218,Unf,0,486,1704,Ex,1704,0,0,1704,1,0,2,0,3,1,Gd,7,1,2008,RFn,3,772,TA,TA,0,50,0,0,0,0,0,306000
47,16321,Lvl,1Fam,1Story,5,6,Gable,0,TA,TA,TA,TA,Gd,BLQ,1277,Unf,0,207,1484,TA,1600,0,0,1600,1,0,1,0,2,1,TA,6,2,1957,RFn,1,319,TA,TA,288,258,0,0,0,0,0,207500
60,6324,Lvl,1Fam,1Story,4,6,Gable,0,TA,TA,TA,TA,No,Unf,0,Unf,0,520,520,Fa,520,0,0,520,0,0,1,0,1,1,Fa,4,0,1920,Unf,1,240,Fa,TA,49,0,87,0,0,0,0,68500
50,8500,Lvl,1Fam,2Story,4,4,Gambrel,0,TA,Fa,TA,TA,No,Unf,0,Unf,0,649,649,TA,649,668,0,1317,0,0,1,0,3,1,TA,6,0,1920,Unf,1,250,TA,Fa,0,54,172,0,0,0,0,40000
,8544,Lvl,1Fam,1Story,5,6,Gable,0,TA,TA,TA,TA,No,Unf,0,Unf,0,1228,1228,Gd,1228,0,0,1228,0,0,1,1,3,1,Gd,6,0,1966,Unf,1,271,TA,TA,0,65,0,0,0,0,0,149350
85,11049,Lvl,1Fam,1Story,8,5,Gable,0,Gd,TA,Ex,TA,Av,Unf,0,Unf,0,1234,1234,Ex,1234,0,0,1234,0,0,2,0,3,1,Gd,7,0,2007,RFn,2,484,TA,TA,0,30,0,0,0,0,0,179900
70,10552,Lvl,1Fam,1Story,5,5,Hip,0,TA,TA,TA,TA,No,Rec,1018,Unf,0,380,1398,Gd,1700,0,0,1700,0,1,1,1,4,1,Gd,6,1,1959,RFn,2,447,TA,TA,0,38,0,0,0,0,0,165500
60,7313,Lvl,TwnhsE,1Story,9,5,Hip,246,Ex,TA,Ex,TA,No,GLQ,1153,Unf,0,408,1561,Ex,1561,0,0,1561,1,0,2,0,2,1,Ex,6,1,2005,Fin,2,556,TA,TA,203,47,0,0,0,0,0,277500
108,13418,Lvl,1Fam,2Story,8,5,Gable,132,Gd,TA,Ex,TA,Av,Unf,0,Unf,0,1117,1117,Ex,1132,1320,0,2452,0,0,3,1,4,1,Gd,9,1,2004,Fin,3,691,TA,TA,113,32,0,0,0,0,0,309000
112,10859,Lvl,1Fam,1Story,5,5,Gable,0,TA,TA,Gd,TA,No,Unf,0,Unf,0,1097,1097,Ex,1097,0,0,1097,0,0,1,1,3,1,TA,6,0,1995,Unf,2,672,TA,TA,392,64,0,0,0,0,0,145000
74,8532,Lvl,1Fam,1Story,5,6,Hip,650,TA,TA,TA,TA,No,Rec,1213,Unf,0,84,1297,Gd,1297,0,0,1297,0,1,1,0,3,1,TA,5,1,1954,Fin,2,498,TA,TA,0,0,0,0,0,0,0,153000
68,7922,Lvl,1Fam,1Story,5,7,Gable,0,TA,Gd,TA,TA,No,GLQ,731,Unf,0,326,1057,TA,1057,0,0,1057,1,0,1,0,3,1,Gd,5,0,1953,Unf,1,246,TA,TA,0,52,0,0,0,0,0,109000
65,6040,Lvl,Duplex,1Story,4,5,Gable,0,TA,TA,,,,,0,,0,0,0,TA,1152,0,0,1152,0,0,2,0,2,2,Fa,6,0,,,0,0,,,0,0,0,0,0,0,0,82000
84,8658,Lvl,1Fam,1Story,6,5,Gable,101,TA,TA,TA,TA,No,Rec,643,Unf,0,445,1088,Ex,1324,0,0,1324,0,0,2,0,3,1,TA,6,1,1965,RFn,2,440,TA,TA,0,138,0,0,0,0,0,160000
115,16905,Lvl,1Fam,1Story,5,6,Gable,0,TA,Gd,TA,TA,Gd,BLQ,967,Unf,0,383,1350,Gd,1328,0,0,1328,0,1,1,1,2,1,TA,5,2,1959,RFn,1,308,TA,TA,0,104,0,0,0,0,0,170000
,9180,Lvl,1Fam,SFoyer,5,7,Gable,0,TA,TA,Gd,TA,Av,ALQ,747,LwQ,93,0,840,Gd,884,0,0,884,1,0,1,0,2,1,Gd,5,0,1983,RFn,2,504,TA,Gd,240,0,0,0,0,0,0,144000
,9200,Lvl,1Fam,1Story,5,6,Hip,0,TA,TA,Gd,TA,Av,LwQ,280,BLQ,491,167,938,TA,938,0,0,938,1,0,1,0,3,1,TA,5,0,1977,Unf,1,308,TA,TA,145,0,0,0,0,0,0,130250
70,7945,Lvl,1Fam,1Story,5,6,Gable,0,TA,TA,TA,TA,No,ALQ,179,BLQ,506,465,1150,Ex,1150,0,0,1150,1,0,1,0,3,1,TA,6,0,1959,RFn,1,300,TA,TA,0,0,0,0,0,0,0,141000
61,7658,Lvl,TwnhsE,1Story,9,5,Hip,412,Ex,TA,Ex,TA,No,GLQ,456,Unf,0,1296,1752,Ex,1752,0,0,1752,1,0,2,0,2,1,Ex,6,1,2005,RFn,2,576,TA,TA,196,82,0,0,0,0,0,319900
48,12822,Lvl,1Fam,1.5Fin,7,5,Gable,0,Gd,TA,Ex,TA,No,GLQ,1351,Unf,0,83,1434,Ex,1518,631,0,2149,1,0,1,1,1,1,Gd,6,1,2003,RFn,2,670,TA,TA,168,43,0,0,198,0,0,239686
84,11096,Lvl,1Fam,1Story,8,5,Gable,0,Gd,TA,Gd,TA,Av,GLQ,24,Unf,0,1632,1656,Ex,1656,0,0,1656,0,0,2,0,3,1,Gd,7,0,2006,RFn,3,826,TA,TA,0,146,0,0,0,0,0,249700
33,4456,Lvl,2fmCon,2Story,4,5,Gable,0,TA,TA,TA,TA,No,Unf,0,Unf,0,736,736,Gd,736,716,0,1452,0,0,2,0,2,3,TA,8,0,,,0,0,,,0,0,102,0,0,0,0,113000
66,7742,Lvl,1Fam,1Story,5,7,Gable,0,TA,TA,TA,TA,No,BLQ,763,Unf,0,192,955,Ex,955,0,0,955,1,0,1,0,3,1,TA,6,0,1966,Unf,1,386,TA,TA,0,0,0,0,0,0,0,127000
,13869,Lvl,1Fam,2Story,6,6,Gable,0,TA,TA,Gd,TA,Av,GLQ,182,Unf,0,612,794,Gd,794,676,0,1470,0,1,2,0,3,1,TA,6,0,1997,Fin,2,388,TA,TA,0,75,0,0,0,0,0,177000
52,6240,Lvl,1Fam,1.5Fin,6,6,Gable,0,TA,TA,TA,TA,No,Unf,0,Unf,0,816,816,TA,816,0,360,1176,0,0,1,0,3,1,TA,6,1,1985,Unf,2,528,TA,TA,112,0,0,0,0,0,400,114500
110,8472,Bnk,Duplex,1Story,5,5,Gable,0,Fa,TA,Gd,TA,Gd,LwQ,104,GLQ,712,0,816,TA,816,0,0,816,1,0,1,0,2,1,TA,5,0,1963,Unf,2,516,TA,TA,106,0,0,0,0,0,0,110000
68,50271,Low,1Fam,1Story,9,5,Gable,0,Gd,TA,Ex,TA,Gd,GLQ,1810,Unf,0,32,1842,Gd,1842,0,0,1842,2,0,0,1,0,1,Gd,5,1,1981,Fin,3,894,TA,TA,857,72,0,0,0,0,0,385000
60,7134,Bnk,1Fam,SLvl,5,5,Gable,0,TA,TA,TA,TA,No,ALQ,384,Unf,0,0,384,TA,1360,0,0,1360,0,0,1,0,3,1,TA,6,1,1962,Unf,2,572,TA,TA,0,50,0,0,0,0,0,130000
100,10175,Lvl,1Fam,1Story,6,5,Gable,272,TA,TA,TA,TA,No,BLQ,490,Unf,0,935,1425,Gd,1425,0,0,1425,0,0,2,0,3,1,TA,7,1,1964,RFn,2,576,TA,TA,0,0,0,407,0,0,0,180500
24,2645,Lvl,Twnhs,2Story,8,5,Gable,456,Gd,TA,Gd,TA,No,GLQ,649,Unf,0,321,970,Ex,983,756,0,1739,1,0,2,1,3,1,Gd,7,0,1999,Fin,2,480,TA,TA,115,0,0,0,0,0,0,172500
89,11645,Lvl,1Fam,2Story,7,5,Gable,0,Gd,TA,Gd,TA,No,Unf,0,Unf,0,860,860,Ex,860,860,0,1720,0,0,2,1,3,1,Gd,7,0,2004,RFn,2,565,TA,TA,0,70,0,0,0,0,0,196500
66,13682,HLS,1Fam,2Story,10,5,Hip,1031,Ex,TA,Ex,TA,Gd,Unf,0,Unf,0,1410,1410,Ex,1426,1519,0,2945,0,0,3,1,3,1,Gd,10,1,2006,Fin,3,641,TA,TA,192,0,37,0,0,0,0,438780
60,7200,Bnk,1Fam,1Story,5,7,Gable,0,TA,TA,TA,TA,Av,ALQ,632,Unf,0,148,780,Ex,780,0,0,780,0,0,1,0,2,1,TA,4,0,1973,Unf,1,352,TA,TA,196,0,0,0,0,0,0,124900
63,13072,Lvl,1Fam,1Story,6,5,Gable,0,TA,TA,Gd,TA,No,ALQ,941,Unf,0,217,1158,Ex,1158,0,0,1158,1,0,1,1,3,1,Gd,5,0,2006,Unf,2,576,TA,TA,0,50,0,0,0,0,0,158000
60,7200,Lvl,1Fam,2.5Unf,5,7,Gable,0,TA,TA,TA,Fa,No,Unf,0,Unf,0,530,530,TA,581,530,0,1111,0,0,1,0,3,1,Fa,6,0,1935,Unf,1,288,TA,TA,0,0,144,0,0,0,0,101000
44,6442,Lvl,TwnhsE,1Story,8,5,Gable,178,Gd,TA,Gd,Gd,Mn,GLQ,24,Unf,0,1346,1370,Ex,1370,0,0,1370,0,0,2,0,2,1,Gd,6,1,2006,RFn,2,484,TA,TA,120,49,0,0,0,0,0,202500
50,10300,Bnk,1Fam,2Story,7,6,Gable,0,TA,TA,TA,TA,No,Unf,0,Unf,0,576,576,Gd,902,808,0,1710,0,0,2,0,3,1,TA,9,0,1990,Unf,2,480,TA,TA,12,11,64,0,0,0,0,140000
,9375,Lvl,1Fam,2Story,7,5,Gable,573,TA,TA,Gd,TA,No,GLQ,739,Unf,0,318,1057,Ex,1057,977,0,2034,1,0,2,1,3,1,Gd,8,0,1998,RFn,2,645,TA,TA,576,36,0,0,0,0,0,219500
76,9591,Lvl,1Fam,2Story,8,5,Gable,344,Gd,TA,Ex,TA,Av,Unf,0,Unf,0,1143,1143,Ex,1143,1330,0,2473,0,0,2,1,4,1,Gd,9,1,2004,RFn,3,852,TA,TA,192,151,0,0,0,0,0,317000
,19900,Lvl,1Fam,1Story,7,5,Gable,287,TA,TA,Gd,TA,Gd,GLQ,912,Unf,0,1035,1947,TA,2207,0,0,2207,1,0,2,0,3,1,TA,7,1,1970,RFn,2,576,TA,TA,301,0,0,0,0,0,0,180000
72,10665,Lvl,1Fam,1Story,7,5,Gable,167,Gd,TA,Gd,TA,Av,GLQ,1013,Unf,0,440,1453,Ex,1479,0,0,1479,1,0,2,0,3,1,Gd,7,0,2003,RFn,2,558,TA,TA,144,29,0,0,0,0,0,226000
47,4608,Lvl,1Fam,1Story,4,6,Gable,0,TA,Gd,TA,TA,No,Unf,0,Unf,0,747,747,TA,747,0,0,747,0,0,1,0,2,1,TA,4,0,1945,Unf,1,220,TA,TA,0,0,0,0,0,0,0,80000
81,15593,Lvl,1Fam,1.5Fin,7,4,Gable,0,Gd,TA,TA,TA,No,BLQ,603,Unf,0,701,1304,TA,1304,983,0,2287,0,0,2,0,3,1,TA,7,1,1953,Fin,2,667,TA,TA,0,21,114,0,0,0,0,225000
95,13651,Lvl,1Fam,1Story,7,6,Gable,1115,TA,Gd,Gd,TA,Gd,ALQ,1880,Unf,0,343,2223,Ex,2223,0,0,2223,1,0,2,0,3,1,TA,8,2,1973,Fin,2,516,TA,TA,300,0,0,0,0,0,0,244000
69,7599,Lvl,1Fam,1Story,4,6,Gable,0,TA,TA,TA,TA,No,ALQ,565,Unf,0,280,845,TA,845,0,0,845,1,0,1,0,2,1,TA,4,0,1987,Unf,2,360,TA,TA,0,0,0,0,0,0,0,129500
74,10141,Lvl,1Fam,2Story,7,5,Gable,40,TA,TA,Gd,TA,No,Unf,0,Unf,0,832,832,Gd,885,833,0,1718,0,0,2,1,3,1,TA,7,1,1998,Fin,2,427,TA,TA,0,94,0,0,291,0,0,185000
85,10200,Lvl,1Fam,1Story,5,7,Gable,104,TA,TA,TA,TA,No,ALQ,320,BLQ,362,404,1086,Gd,1086,0,0,1086,1,0,1,0,3,1,TA,6,0,1989,Unf,2,490,TA,TA,0,0,0,0,0,0,0,144900
60,5790,Lvl,1Fam,2Story,3,6,Gambrel,0,Gd,Gd,Fa,TA,No,Unf,0,Unf,0,840,840,Gd,840,765,0,1605,0,0,2,0,3,2,TA,8,0,1915,Unf,1,379,TA,TA,0,0,202,0,0,0,0,107400
21,1596,Lvl,Twnhs,SLvl,4,5,Gable,0,TA,TA,Gd,TA,Gd,GLQ,462,Unf,0,0,462,TA,526,462,0,988,1,0,1,0,2,1,TA,5,0,1973,Unf,1,297,TA,TA,120,101,0,0,0,0,0,91000
,8475,Lvl,1Fam,1Story,4,7,Gable,0,TA,TA,TA,TA,No,ALQ,228,Unf,0,724,952,Ex,952,0,0,952,0,0,1,0,2,1,TA,4,0,1956,Unf,1,283,TA,TA,0,0,0,0,0,0,0,135750
50,8635,Lvl,1Fam,1.5Fin,5,5,Gable,0,TA,TA,TA,TA,No,BLQ,336,GLQ,41,295,672,TA,1072,213,0,1285,1,0,1,0,2,1,TA,6,0,1948,Unf,1,240,TA,TA,0,0,0,0,0,0,0,127000
72,10778,Lvl,Duplex,1Story,4,5,Hip,0,TA,TA,TA,TA,No,Unf,0,Unf,0,1768,1768,TA,1768,0,0,1768,0,0,2,0,4,2,TA,8,0,,,0,0,,,0,0,0,0,0,0,0,136500
60,10440,Lvl,1Fam,2Story,5,6,Gable,0,TA,TA,TA,TA,No,Unf,0,Unf,0,440,440,Gd,682,548,0,1230,0,0,1,1,2,1,TA,5,0,1966,Unf,2,440,TA,TA,74,0,128,0,0,0,0,110000
100,13000,Lvl,1Fam,2Story,6,6,Gable,576,TA,Gd,Gd,TA,No,Rec,448,Unf,0,448,896,TA,1182,960,0,2142,0,0,2,1,4,1,Gd,8,1,1968,Fin,1,509,TA,TA,0,72,0,0,252,0,0,193500
32,4500,Lvl,TwnhsE,1Story,6,5,Hip,443,TA,Gd,Ex,Gd,No,GLQ,1201,Unf,0,36,1237,Ex,1337,0,0,1337,1,0,2,0,2,1,TA,5,0,1998,Fin,2,405,TA,TA,0,199,0,0,0,0,0,153500
78,10206,Lvl,1Fam,1Story,8,5,Gable,468,TA,TA,Gd,TA,No,GLQ,33,Unf,0,1530,1563,Ex,1563,0,0,1563,0,0,2,0,3,1,Gd,6,1,2007,RFn,3,758,TA,TA,144,99,0,0,0,0,0,245000
80,8892,Lvl,1Fam,1Story,5,5,Gable,66,TA,TA,TA,TA,No,Unf,0,Unf,0,1065,1065,Gd,1065,0,0,1065,0,0,1,1,3,1,TA,6,0,1974,Unf,2,461,TA,TA,74,0,0,0,0,0,0,126500
,8530,Lvl,1Fam,SLvl,7,5,Gable,22,TA,TA,Gd,TA,No,Unf,0,Unf,0,384,384,Gd,804,670,0,1474,0,0,2,1,3,1,TA,7,1,1995,Fin,2,400,TA,TA,120,72,0,0,0,0,700,168500
121,16059,Lvl,1Fam,2Story,8,5,Hip,284,Gd,TA,Gd,TA,No,Unf,0,Unf,0,1288,1288,Ex,1301,1116,0,2417,0,0,2,1,4,1,Gd,9,1,1991,Unf,2,462,TA,TA,127,82,0,0,0,0,0,260000
122,11911,Lvl,1Fam,2Story,6,5,Gable,0,Gd,TA,Gd,TA,Av,Unf,0,Unf,0,684,684,Ex,684,876,0,1560,0,0,2,1,3,1,Gd,6,1,2005,Fin,2,400,TA,TA,100,38,0,0,0,0,0,174000
40,3951,Lvl,TwnhsE,2Story,6,5,Gable,76,Gd,TA,Gd,TA,Av,Unf,0,Unf,0,612,612,Ex,612,612,0,1224,0,0,2,1,2,1,Gd,4,0,2009,RFn,2,528,TA,TA,0,234,0,0,0,0,0,164500
105,8470,Lvl,1Fam,1.5Fin,3,2,Hip,0,Fa,Fa,TA,Fa,No,Unf,0,Unf,0,1013,1013,TA,1013,0,513,1526,0,0,1,0,2,1,Fa,6,0,,,0,0,,,0,0,156,0,0,0,0,85000
60,8070,Lvl,1Fam,1Story,4,5,Gable,0,TA,TA,Gd,TA,No,GLQ,588,Unf,0,402,990,Ex,990,0,0,990,1,0,1,0,3,1,TA,5,0,,,0,0,,,0,0,0,0,0,0,0,123600
60,7200,Lvl,1Fam,1Story,4,5,Gable,0,TA,TA,,,,,0,,0,0,0,TA,1040,0,0,1040,0,0,1,0,2,1,TA,4,0,1950,Unf,2,420,TA,TA,0,29,0,0,0,0,0,109900
85,8500,Lvl,1Fam,1Story,5,3,Hip,203,TA,TA,TA,TA,No,Rec,600,Unf,0,635,1235,TA,1235,0,0,1235,0,0,1,0,2,1,TA,6,0,1961,Unf,2,480,TA,TA,0,0,0,0,0,0,0,98600
80,13360,HLS,1Fam,1Story,5,7,Gable,0,TA,Gd,Gd,TA,No,ALQ,713,Unf,0,163,876,Ex,964,0,0,964,1,0,1,0,2,1,TA,5,0,1921,Unf,2,432,TA,TA,0,0,44,0,0,0,0,163500
60,7200,Lvl,2fmCon,2.5Unf,6,6,Hip,0,TA,TA,TA,Fa,Mn,Rec,1046,Unf,0,168,1214,Ex,1260,1031,0,2291,0,1,2,0,4,2,TA,9,1,1900,Unf,2,506,TA,TA,0,0,0,0,99,0,0,133900
69,9337,Lvl,1Fam,2Story,6,5,Gable,0,TA,Gd,Gd,TA,No,GLQ,648,Unf,0,176,824,Ex,905,881,0,1786,1,0,2,1,3,1,Gd,7,0,1997,RFn,2,684,TA,TA,0,162,0,0,0,0,0,204750
,9765,Lvl,1Fam,2Story,6,8,Gable,68,Ex,Gd,Gd,Gd,No,ALQ,310,Unf,0,370,680,Gd,680,790,0,1470,0,0,2,1,3,1,TA,6,1,1993,Fin,2,420,TA,TA,232,63,0,0,0,0,480,185000
78,10264,Lvl,1Fam,1Story,7,5,Gable,183,Gd,TA,Gd,TA,Av,ALQ,1162,Unf,0,426,1588,Ex,1588,0,0,1588,0,0,2,0,3,1,Gd,6,0,1999,RFn,2,472,TA,TA,158,29,0,0,0,0,0,214000
73,10921,HLS,1Fam,1Story,4,5,Hip,48,TA,TA,TA,TA,No,Rec,520,Unf,0,440,960,TA,960,0,0,960,1,0,1,0,3,1,TA,6,0,1965,Fin,1,432,TA,TA,120,0,0,0,0,0,0,94750
85,10625,Lvl,1Fam,1Story,5,5,Gable,0,TA,TA,TA,TA,No,ALQ,108,Unf,0,350,458,Fa,835,0,0,835,0,0,1,0,2,1,TA,5,0,1920,Unf,1,366,Fa,TA,0,0,77,0,0,0,400,83000
77,9320,Lvl,1Fam,1Story,4,5,Gable,0,TA,TA,TA,TA,No,ALQ,569,Unf,0,381,950,Fa,1225,0,0,1225,1,0,1,1,3,1,TA,6,0,,,0,0,,,352,0,0,0,0,0,400,128950
,10603,Lvl,1Fam,1Story,6,7,Gable,28,TA,TA,TA,TA,Mn,ALQ,1200,Unf,0,410,1610,Gd,1610,0,0,1610,1,0,2,0,3,1,Gd,6,2,1977,RFn,2,480,TA,TA,168,68,0,0,0,0,0,205000
77,9206,Lvl,1Fam,2Story,6,5,Gable,336,Gd,TA,Gd,TA,No,Unf,0,Unf,0,741,741,TA,977,755,0,1732,0,0,2,1,3,1,Gd,7,1,1985,Fin,2,476,TA,TA,192,46,0,0,0,0,0,178000
64,7018,Bnk,Duplex,1Story,5,5,Gable,0,TA,Fa,,,,,0,,0,0,0,TA,1535,0,0,1535,0,0,2,0,4,2,TA,8,0,1979,Unf,2,410,TA,TA,0,0,0,0,0,0,0,118964
